device,runner,a_dtype,b_dtype,group_size,m,k,n,latency
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,2,12288,8192,0.09932799637317657
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,2,16384,8192,0.3491840064525604
NVIDIA-GeForce-RTX-4090,cutlass,float16,uint4b,128,2,16384,8192,0.5734400153160095
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,2,16384,8192,0.08806400001049042
NVIDIA-GeForce-RTX-4090,tilelp,float16,uint4b,128,2,16384,8192,0.1544800028204918
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,2,16384,8192,0.17715199291706085
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,2,16384,8192,0.08499199897050858
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,2,16384,8192,0.1515520066022873
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,2,28672,8192,0.5509120225906372
NVIDIA-GeForce-RTX-4090,cutlass,float16,uint4b,128,2,28672,8192,0.9953280091285706
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,2,28672,8192,0.14336000382900238
NVIDIA-GeForce-RTX-4090,tilelp,float16,uint4b,128,2,28672,8192,0.25859200954437256
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,2,28672,8192,0.2969599962234497
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,2,28672,8192,0.14131200313568115
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,2,28672,8192,0.27955201268196106
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,2,8192,16384,0.33689600229263306
NVIDIA-GeForce-RTX-4090,cutlass,float16,uint4b,128,2,8192,16384,0.5734400153160095
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,2,8192,16384,0.0870399996638298
NVIDIA-GeForce-RTX-4090,tilelp,float16,uint4b,128,2,8192,16384,0.15360000729560852
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,2,8192,16384,0.16383999586105347
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,2,8192,16384,0.08567999675869942
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,2,8192,16384,0.1598079949617386
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,2,8192,57344,1.0383360385894775
NVIDIA-GeForce-RTX-4090,cutlass,float16,uint4b,128,2,8192,57344,1.9763200283050537
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,2,8192,57344,0.2693119943141937
NVIDIA-GeForce-RTX-4090,tilelp,float16,uint4b,128,2,8192,57344,0.504720002412796
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,2,8192,57344,0.5140479803085327
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,2,8192,57344,0.27238398790359497
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,2,8192,57344,0.5713919997215271
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,2,28672,8192,0.550896018743515
NVIDIA-GeForce-RTX-4090,cutlass,float16,uint4b,128,2,28672,8192,0.9953280091285706
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,2,28672,8192,0.14336000382900238
NVIDIA-GeForce-RTX-4090,tilelp,float16,uint4b,128,2,28672,8192,0.25900799036026
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,2,28672,8192,0.2969599962234497
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,2,28672,8192,0.14233599603176117
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,2,28672,8192,0.27955201268196106
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,1,8192,8192,0.09647999703884125
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,1,8192,8192,0.0799039974808693
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,1,8192,8192,0.03425600007176399
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,1,8192,8192,0.026048000901937485
NVIDIA-H100-PCIe,triton,float16,uint4b,128,1,8192,8192,0.11486400291323662
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,1,8192,8192,0.0306560005992651
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,1,12288,8192,0.13047999888658524
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,1,12288,8192,0.12028799951076508
NVIDIA-H100-PCIe,marlin,float16,uint4b,128,1,12288,8192,0.04451199993491173
NVIDIA-H100-PCIe,tilelp,float16,uint4b,128,1,12288,8192,0.03446400165557861
NVIDIA-H100-PCIe,triton,float16,uint4b,128,1,12288,8192,0.16647999733686447
NVIDIA-H100-PCIe,mutis,float16,uint4b,128,1,12288,8192,0.0416640006005764
NVIDIA-H100-PCIe,torch-f16,float16,float16,-1,1,16384,8192,0.16422399878501892
NVIDIA-H100-PCIe,cutlass,float16,uint4b,128,1,16384,8192,0.15507200360298157
